                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.66952,                0.88667,                 1.1715,                0.58456,                0.54675,                0.60442,                 0.4605,                0.85693,                  1.146,                 1.2805,             0.00082925,             0.00082925,             0.00082925
                     36,                0.64515,                0.83378,                 1.1539,                0.64368,                0.51717,                0.58346,                0.44871,                 0.8429,                 1.2357,                 1.2831,             0.00081688,             0.00081688,             0.00081688
                     37,                0.66295,                0.82365,                 1.1597,                0.82568,                0.51531,                0.57073,                0.43091,                0.87599,                  1.314,                 1.2667,              0.0008045,              0.0008045,              0.0008045
                     38,                0.65488,                0.83282,                 1.1517,                0.85346,                 0.5324,                0.59473,                0.44393,                0.89627,                 1.1084,                 1.2942,             0.00079213,             0.00079213,             0.00079213
                     39,                0.66336,                0.81341,                 1.1531,                0.88202,                0.53609,                0.60741,                0.44525,                 0.8899,                 1.1144,                 1.3094,             0.00077975,             0.00077975,             0.00077975
                     40,                 0.6442,                0.81267,                 1.1408,                0.65666,                 0.5335,                0.61392,                  0.463,                0.87627,                 1.1075,                 1.3015,             0.00076738,             0.00076738,             0.00076738
                     41,                0.65305,                0.82495,                 1.1466,                0.84863,                0.58168,                0.61387,                 0.4576,                0.87303,                 1.1263,                 1.2678,               0.000755,               0.000755,               0.000755
                     42,                0.66573,                0.83069,                 1.1552,                0.59553,                0.57901,                0.62297,                0.46808,                 0.8278,                 1.0791,                 1.2506,             0.00074263,             0.00074263,             0.00074263
                     43,                0.62538,                0.76262,                 1.1344,                0.59269,                0.54577,                0.60108,                  0.444,                 0.9031,                 1.2411,                 1.3084,             0.00073025,             0.00073025,             0.00073025
                     44,                0.63654,                0.76656,                  1.126,                0.92099,                0.54507,                 0.6173,                0.48705,                0.78273,                 1.0904,                 1.2141,             0.00071788,             0.00071788,             0.00071788
                     45,                0.61607,                0.76377,                 1.1209,                0.89217,                0.56144,                0.63161,                0.49221,                0.77536,                 1.0317,                  1.191,              0.0007055,              0.0007055,              0.0007055
                     46,                0.61127,                 0.7624,                 1.1122,                 0.6088,                0.56139,                0.61885,                0.48873,                0.79167,                 1.0461,                 1.1954,             0.00069313,             0.00069313,             0.00069313
                     47,                0.62554,                 0.7499,                 1.1243,                0.65022,                0.53782,                0.60163,                 0.4623,                0.82128,                 1.1064,                 1.2437,             0.00068075,             0.00068075,             0.00068075
