lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,hu_moment0,hu_moment1,hu_moment2,hu_moment3,hu_moment4,hu_moment5,hu_moment6,mean_edge,std_dev_edge
2e-05,0.00042,0.0,0.004864,0.0,0.01018,0.0,0.004536,0.97998,0.0007359895610660593,5.869609029609111e-08,9.224079682643114e-12,2.811026959638955e-12,1.4191673307694696e-23,-9.740057367262932e-17,-1.866853624169454e-24,33.30731612427801,172.6113098629328
6e-05,0.000724,0.0,0.007412,0.0,0.014468,0.0,0.006696,0.97064,0.000847203927781874,3.124546410558409e-08,4.9702045430108e-11,7.416103125270815e-12,-1.4001060339489005e-22,-1.8113035094050382e-16,2.587009426082294e-23,46.190615991739996,200.35997952261727
6e-05,0.00066,0.0,0.006092,0.0,0.016376,0.0,0.005644,0.971168,0.0009521001801959041,4.7941770399921523e-08,1.8402579640562193e-11,1.3512435926922268e-11,1.4739820747870108e-22,9.32562955845735e-16,1.5387090714467893e-22,46.8807596209734,203.33473677008686
4.4e-05,0.0006,0.0,0.005256,0.0,0.00986,0.0,0.004716,0.979524,0.0007118585263373373,2.3743729292285477e-09,6.67933665925337e-11,3.0551473508385326e-12,1.352201236351141e-23,-1.2559565201381263e-16,4.149541387923559e-23,32.84979060677093,169.76733153669852
0.000244,0.002176,0.0,0.016292,0.0,0.02464,0.0,0.014048,0.9426,0.000981162066491671,8.08118228288262e-09,3.20830213894864e-11,5.071438556777124e-12,5.838375650011236e-23,3.89433492322772e-16,2.7858207467027466e-23,98.00744586086982,280.87535412675254
0.000104,0.001104,0.0,0.010152,0.0,0.021008,0.0,0.00964,0.957992,0.0010335904477909133,1.1515007401411405e-08,1.0070013233447738e-11,6.164021829651924e-11,-7.365051365121273e-22,6.5545768973198426e-15,1.3475859034204288e-21,67.29867496618242,239.1302045911309
0.000176,0.00126,0.0,0.010588,0.0,0.024532,0.0,0.009968,0.953476,0.0008233980022747621,4.601796879424172e-08,3.8846234429075714e-13,1.330377754591734e-12,-9.5120992467088e-25,2.0788176281007296e-16,-9.94460058226398e-26,81.81745723406266,263.2446772334672
0.000136,0.00178,0.0,0.014856,0.0,0.030236,0.0,0.013528,0.939464,0.001084135701756472,5.1752553611369475e-08,1.6767881080543585e-10,5.0753813538811935e-11,4.630447592800306e-21,-2.61062547601431e-15,-6.936566801171919e-22,94.88169875842708,278.20028835483816
0.000148,0.001652,0.0,0.011952,0.0,0.023468,0.0,0.01088,0.9519,0.0010210949992458308,1.0853361636952685e-09,1.5481709214893644e-10,7.89934297689777e-12,1.7335326828465507e-22,5.546427177737405e-17,2.150824621342268e-22,79.63665378880214,257.14981036999126
0.0001,0.000828,0.0,0.008592,0.0,0.015584,0.0,0.007824,0.967072,0.0009067136949671773,2.8080151313985124e-08,3.950799988590166e-11,4.420780859524116e-12,2.123510714817759e-23,-6.47344787597178e-16,-5.442820521134962e-23,50.571480048068786,208.15207567004413
8e-05,0.001056,0.0,0.009516,0.0,0.016232,0.0,0.00878,0.964336,0.0007940896129630226,5.905373410214348e-09,3.511603302763112e-11,1.7718063798079786e-11,-2.366600597185778e-22,-1.239959868833871e-15,3.7324977787910264e-22,57.830670521394794,221.75672694880276
7.6e-05,0.001064,0.0,0.01222,0.0,0.025732,0.0,0.011488,0.94942,0.0010965973675863673,1.4928667802609554e-09,3.542118177644213e-11,1.4113896643556147e-11,2.229730975024418e-22,-3.8047494339797915e-16,2.2331652844612715e-22,81.9360250355509,262.57261053158913
0.000164,0.001748,0.0,0.017284,0.0,0.035,0.0,0.015672,0.930132,0.0011474993405790807,6.184910369156968e-09,2.2681548633629075e-11,1.0115204094425748e-11,-1.4969988694787535e-22,-5.796210143638375e-16,-3.26260665182688e-23,117.4759957360421,307.68395087463597
6.8e-05,0.000676,0.0,0.006064,0.0,0.009216,0.0,0.005324,0.978652,0.0007896829807234368,1.5083359721592866e-07,2.2732592062998882e-11,1.628595614802819e-11,3.0598685718077394e-22,6.2792737455580395e-15,-6.757884417098704e-23,35.917646881686316,176.81934012568448
0.000148,0.002368,0.0,0.014888,0.0,0.02788,0.0,0.013352,0.941364,0.0009305576052628876,4.7028504860673114e-08,1.6062140647894115e-11,9.084218708222868e-12,-7.197119043595124e-23,1.0517772630089092e-15,8.283265005481893e-23,99.01670295084092,283.04109690422155
8e-05,0.001264,0.0,0.009936,0.0,0.022048,0.0,0.009972,0.9567,0.0008676416935881602,1.0279933729740307e-08,8.184051857317806e-11,2.9972492446992343e-12,4.28780423343507e-23,-1.905317287650138e-16,-1.9107452242224668e-23,69.97960304170458,242.92283951519556
0.000152,0.001348,0.0,0.006588,0.0,0.015712,0.0,0.00572,0.97048,0.0007871804566190367,6.141762777440294e-08,1.1072858761788566e-11,6.3830923576155495e-12,-5.058659640912765e-23,-1.5544080191630997e-15,-1.790908647974298e-23,54.47510212560186,217.18503458665208
